Home,Mortgage
Home,Rent
Home,HOA
Home,Home Maintenance
Food & Pharmacy,Groceries
Food & Pharmacy,Pharmacy Stuff
Food & Pharmacy,Other Food & Pharm
Vehicle,Vehicle Payments
Vehicle,Regular Maintenance
Vehicle,Special Maintenance
Vehicle,Other Vehicle
Health & Fitness,Health Insurance
Health & Fitness,Gym Membership
Health & Fitness,Routine Medical / Dental
Health & Fitness,Special Medical / Dental
Health & Fitness,Other Health
Productivity & Tools,Productivity Software
Productivity & Tools,Productivity Apps
Productivity & Tools,Productivity Books
Productivity & Tools,Education / Classes
Productivity & Tools,Other Productivity & Tools
Other Transportation,Rideshares
Other Transportation,Public Transit
Other Transportation,Parking
Discretionary Health,Supplements
Discretionary Health,Fitness Classes
Discretionary Health,Health Apps
Discretionary Health,Elective Medical / Dental
Discretionary Entertainment,Movies / Rentals
Discretionary Entertainment,Sports Clubs
Discretionary Entertainment,Social Clubs
Discretionary Entertainment,Concerts
Discretionary Entertainment,Video Games
Discretionary Entertainment,Books
Discretionary Entertainment,Streaming Services
Discretionary Entertainment,Ski Passes
Discretionary Entertainment,Sporting Equipment
Discretionary Shopping,Clothing
Discretionary Shopping,Electronics
Discretionary Shopping,Home Goods
Discretionary Shopping,Gifts
Discretionary Shopping,Personal Care
Discretionary Shopping,Other Discretionary Shopping
Travel & Vacation,Airfare
Travel & Vacation,Travel Food & Dining
Travel & Vacation,Travel Shopping
Travel & Vacation,Travel Other
Travel & Vacation,Travel Entertainment
Discretionary Food & Dining,Alcohol
Discretionary Food & Dining,Coffee Shops
Discretionary Food & Dining,Takeout
Discretionary Food & Dining,Other Discretionary Food
Special Expense,Down Payment
Special Expense,New Vehicle
Special Expense,Other Special Expense
Other Spending,Charity
Other Spending,Repay via Business
Other Spending,???